,symbol,name,currency,exchange,mic_code,country,type
31160,A,"Agilent Technologies, Inc.",USD,NYSE,XNYS,United States,Common Stock
31444,AA,Alcoa Corp,USD,NYSE,XNYS,United States,Common Stock
31460,AAALF,Aareal Bank AG,USD,OTC,Grey,United States,Common Stock
31461,AAALY,Aareal Bank AG,USD,OTC,Pink,United States,American Depositary Receipt
31469,AABB,"Asia Broadband, Inc.",USD,OTC,Pink,United States,Common Stock
31470,AABVF,Aberdeen International Inc.,USD,OTC,Pink,United States,Common Stock
31473,AAC,AAC Holdings Inc,USD,NYSE,XNYS,United States,Common Stock
31478,AACAF,AAC Technologies Holdings Inc,USD,OTC,Pink,United States,Common Stock
31479,AACAY,AAC Technologies Holdings Inc,USD,OTC,Pink,United States,American Depositary Receipt
31480,AACG,ATA Creativity Global,USD,NASDAQ,XNMS,United States,Depositary Receipt
31481,AACI,Armada Acquisition Corp. I,USD,NASDAQ,XNMS,United States,Common Stock
31482,AACIU,Armada Acquisition Corp. I Unit,USD,NASDAQ,XNMS,United States,Common Stock
31483,AACIW,Armada Acquisition Corp. I,USD,NASDAQ,XNMS,United States,Common Stock
31484,AACOU,Advancit Acquisition Corp. I,USD,NASDAQ,XNCM,United States,Common Stock
31486,AACS,"American Commerce Solutions, Inc.",USD,OTC,Pink,United States,Common Stock
31487,AACTF,Aurora Solar Technologies Inc.,USD,OTC,Pink,United States,Common Stock
31488,AAC.UN,Ares Acquisition Corporation,USD,NYSE,XNYS,United States,Common Stock
31490,AAC.WT,Ares Acquisition Corporation Re,USD,NYSE,XNYS,United States,Common Stock
31496,AADI,"Aadi Bioscience, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
31502,AAEEF,Altair Res Inc,USD,OTC,Pink,United States,Common Stock
31504,AAFRF,Airtel Africa Plc,USD,OTC,Pink,United States,Common Stock
31512,AAGC,All American Gold Corp.,USD,OTC,Pink,United States,Common Stock
31513,AAGEF,AAG Energy Holdings Limited,USD,OTC,Pink,United States,Common Stock
31514,AAGFF,Aftermath Silver Ltd.,USD,OTC,OTCQB,United States,Common Stock
31515,AAGH,America Great Health,USD,OTC,Pink,United States,Common Stock
31516,AAGIY,"AIA Group, Ltd.",USD,OTC,Pink,United States,American Depositary Receipt
31517,AAGRY,Astra Agro Lestari TBK,USD,OTC,Pink,United States,American Depositary Receipt
31521,AAHIF,"Asahi Co., Ltd.",USD,OTC,Pink,United States,Common Stock
31523,AAIC,Arlington Asset Investment Corp.,USD,NYSE,XNYS,United States,Common Stock
31524,AAIC.PR.B,Arlington Asset Investment Corp.,USD,NYSE,XNYS,United States,Preferred Stock
31525,AAIC.PR.C,Arlington Asset Investment Corp.,USD,NYSE,XNYS,United States,Preferred Stock
31526,AAIGF,"AIA Group, Ltd.",USD,OTC,Pink,United States,Common Stock
31527,AAIIQ,"Alabama Aircraft Industries, Inc.",USD,OTC,Pink,United States,Common Stock
31529,AAIN,Arlington Asset Investment Corp,USD,NYSE,XNYS,United States,Preferred Stock
31531,AAIRF,"American Aires Inc,",USD,OTC,Pink,United States,Common Stock
31542,AAL,American Airlines Group Inc,USD,NASDAQ,XNGS,United States,Common Stock
31547,AALBF,A. Alberts Industries,USD,OTC,Pink,United States,Common Stock
31559,AAMAF,Atlas Mara Co Nvest Ltd.,USD,OTC,Pink,United States,Common Stock
31560,AAMC,Altisource Asset Management Corp,USD,NYSE,XASE,United States,Common Stock
31561,AAME,Atlantic American Corp,USD,NASDAQ,XNMS,United States,Common Stock
31562,AAMMF,Almadex Minerals Ltd.,USD,OTC,Pink,United States,Common Stock
31563,AAM.PR.A,"Apollo Global Management, Inc.",USD,NYSE,XNYS,United States,Common Stock
31564,AAM.PR.B,"Apollo Global Management, Inc.",USD,NYSE,XNYS,United States,Common Stock
31565,AAMTF,Armada Mercantile Ltd.,USD,OTC,Pink,United States,Common Stock
31567,AAN,Aaron's Inc,USD,NYSE,XNYS,United States,Common Stock
31574,AANNF,Aroundtown SA,USD,OTC,Pink,United States,Common Stock
31576,AAOI,Applied Optoelectronics Inc,USD,NASDAQ,XNMS,United States,Common Stock
31577,AAON,AAON Inc,USD,NASDAQ,XNGS,United States,Common Stock
31578,AAP,Advance Auto Parts Inc,USD,NYSE,XNYS,United States,Common Stock
31585,AAPJ,"AAP, Inc.",USD,OTC,Pink,United States,Common Stock
31587,AAPL,Apple Inc,USD,NASDAQ,XNGS,United States,Common Stock
31602,AAPT,"All American Pet Company, Inc.",USD,OTC,Pink,United States,Common Stock
31605,AAQC,Accelerate Acquisition Corp.,USD,NYSE,XNYS,United States,Common Stock
31606,AAQC.UN,Accelerate Acquisition Corp.,USD,NYSE,XNYS,United States,Unit
31607,AAQCW,Accelerate Acquisition Corp.,USD,OTC,Pink,United States,Common Stock
31630,AASP,"All-American SportPark, Inc.",USD,OTC,Pink,United States,Common Stock
31632,AASZF,Atlantic Sapphire ASA,USD,OTC,Pink,United States,Common Stock
31634,AAT,American Assets Trust Inc,USD,NYSE,XNYS,United States,REIT
31635,AATC,Autoscope Technologies Corporation,USD,NASDAQ,XNCM,United States,Common Stock
31636,AATGF,ATI Airtest Technologies Inc.,USD,OTC,Grey,United States,Common Stock
31637,AATP,Agape ATP Corporation,USD,OTC,Pink,United States,Common Stock
31638,AATRL,AMG Capital Trust II,USD,OTC,Pink,United States,Preferred Stock
31639,AATV,"Adaptive Ad Systems, Inc.",USD,OTC,Pink,United States,Common Stock
31645,AAU,Almaden Minerals Ltd,USD,NYSE,XASE,United States,Common Stock
31647,AAUGF,Angold Resources Ltd.,USD,OTC,Pink,United States,Common Stock
31648,AAUKF,Anglo American plc,USD,OTC,OTCQX,United States,Common Stock
31656,AAVMY,Abn Amro BK N V,USD,OTC,Pink,United States,American Depositary Receipt
31658,AAVVF,Advantage Oil & Gas Ltd.,USD,OTC,Pink,United States,Common Stock
31659,AAVXF,Abivax SA,USD,OTC,Pink,United States,Common Stock
31660,AAWH,"Ascend Wellness Holdings, Inc.",USD,OTC,Pink,United States,Common Stock
31662,AAWW,Atlas Air Worldwide Holdings Inc,USD,NASDAQ,XNGS,United States,Common Stock
31665,AAXT,"Aamaxan Transport Group, Inc.",USD,OTC,Pink,United States,Common Stock
31671,AB,AllianceBernstein Holding LP,USD,NYSE,XNYS,United States,Limited Partnership
31696,ABAKF,Aberdeen Asia-Pacific Income Investment Co. Ltd.,USD,OTC,Grey,United States,Common Stock
31699,ABANF,Automatic Bank Services Limited,USD,OTC,Pink,United States,Common Stock
31708,ABB,ABB Ltd,USD,NYSE,XNYS,United States,Depositary Receipt
31715,ABBAF,Aberdeen Asian Income Fund,USD,OTC,Pink,United States,Common Stock
31716,ABBB,"Auburn Bancorp, Inc.",USD,OTC,Pink,United States,Common Stock
31721,ABBRF,AbraPlata Resource Corp.,USD,OTC,Pink,United States,Common Stock
31726,ABBV,AbbVie Inc,USD,NYSE,XNYS,United States,Common Stock
31729,ABBY,"Abby, Inc.",USD,OTC,Pink,United States,Common Stock
31732,ABC,AmerisourceBergen Corp,USD,NYSE,XNYS,United States,Common Stock
31738,ABCAF,Athabasca Minerals Inc.,USD,OTC,Pink,United States,Common Stock
31741,ABCB,Ameris Bancorp,USD,NASDAQ,XNGS,United States,Common Stock
31744,ABCE,"ABCO Energy, Inc.",USD,OTC,Pink,United States,Common Stock
31745,ABCFF,Abacus Mining & Exploration Corp.,USD,OTC,Pink,United States,Common Stock
31749,ABCL,AbCellera Biologics Inc,USD,NASDAQ,XNGS,United States,Common Stock
31750,ABCM,Abcam PLC,USD,NASDAQ,XNGS,United States,American Depositary Receipt
31753,ABCP,AmBase Corp.,USD,OTC,Pink,United States,Common Stock
31756,ABCZF,Abcam PLC,USD,OTC,Pink,United States,Common Stock
31758,ABDDF,Ab Dynamics PLC,USD,OTC,Pink,United States,Common Stock
31773,ABEC,Analytica Bio-Energy Corp.,USD,OTC,Grey,United States,Common Stock
31775,ABEO,Abeona Therapeutics Inc,USD,NASDAQ,XNCM,United States,Common Stock
31777,ABEPF,Vision Lithium Inc.,USD,OTC,OTCQB,United States,Common Stock
31780,ABEV,Ambev SA,USD,NYSE,XNYS,United States,Depositary Receipt
31790,ABG,Asbury Automotive Group Inc,USD,NYSE,XNYS,United States,Common Stock
31796,ABGI,ABG Acquisition Corp. I,USD,NASDAQ,XNCM,United States,Common Stock
31798,ABGOF,Abengoa S.A.,USD,OTC,Pink,United States,Common Stock
31799,ABGSF,ABG Sundal Collier Holding ASA,USD,OTC,Pink,United States,Common Stock
31803,ABHBY,ALFEN BEHEER B V UNSPN ADS ECH REP 1 ORD SHS,USD,OTC,Pink,United States,Common Stock
31813,ABILF,Ability Inc.,USD,OTC,Pink,United States,Common Stock
31816,ABIO,ARCA biopharma Inc,USD,NASDAQ,XNCM,United States,Common Stock
31818,ABIT,Athena Bitcoin Global,USD,OTC,Pink,United States,Common Stock
31830,ABLE,"Able Energy, Inc.",USD,OTC,Expert Market,United States,Common Stock
31832,ABLT,"American Biltrite, Inc.",USD,OTC,Pink,United States,Common Stock
31833,ABLZF,ABB Ltd.,USD,OTC,Pink,United States,Common Stock
31834,ABM,ABM Industries Inc,USD,NYSE,XNYS,United States,Common Stock
31836,ABMBF,Abcourt Mines Inc.,USD,OTC,Pink,United States,Common Stock
31837,ABMC,American Bio Medica Corp.,USD,OTC,Pink,United States,Common Stock
31838,ABMD,ABIOMED Inc,USD,NASDAQ,XNGS,United States,Common Stock
31842,ABML,American Battery Metals Corporation,USD,OTC,OTCQB,United States,Common Stock
31845,ABMRF,ABN Amro Group NV,USD,OTC,Pink,United States,Common Stock
31846,ABMT,"Advanced BioMedical Technologies, Inc.",USD,OTC,OTCQB,United States,Common Stock
31853,ABNAF,"Aben Resources, Ltd.",USD,OTC,OTCQB,United States,Common Stock
31855,ABNB,"Airbnb, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
31861,ABNC,"American Bancorp, Inc.",USD,OTC,Pink,United States,Common Stock
31872,ABOS,"Acumen Pharmaceuticals, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
31873,ABP,2,USD,NASDAQ,XNMS,United States,Common Stock
31878,ABPR,"Airborne Security & Protective Services, Inc.",USD,OTC,Pink,United States,Common Stock
31880,ABQQ,AB INTL Group Corp.,USD,OTC,OTCQB,United States,Common Stock
31884,ABR,Arbor Realty Trust Inc,USD,NYSE,XNYS,United States,REIT
31892,ABR-F,Arbor Realty Trust 6.25% Series,USD,NYSE,XNYS,United States,Preferred Stock
31893,ABR.PR.D,"Arbor Realty Trust, Inc.",USD,NYSE,XNYS,United States,Preferred Stock
31894,ABR.PR.E,"Arbor Realty Trust, Inc.",USD,NYSE,XNYS,United States,Preferred Stock
31905,ABSCF,"AB Science, Paris",USD,OTC,Pink,United States,Common Stock
31907,ABSI,Absci Corporation,USD,NASDAQ,XNGS,United States,Common Stock
31911,ABSOF,ABS-CBN Holdings Corporation,USD,OTC,Pink,United States,Common Stock
31914,ABSSF,AirBoss of America Corp.,USD,OTC,Pink,United States,Common Stock
31915,ABST,Absolute Software Corporation,USD,NASDAQ,XNGS,United States,Common Stock
31919,ABT,Abbott Laboratories,USD,NYSE,XNYS,United States,Common Stock
31928,ABTI,"Alterola Biotech, Inc.",USD,OTC,Pink,United States,Common Stock
31929,ABTO,AB&T Financial Corp. (NC),USD,OTC,Pink,United States,Common Stock
31931,ABTZY,"Aboitiz Equity Ventures, Inc.",USD,OTC,Pink,United States,American Depositary Receipt
31934,ABUS,Arbutus Biopharma Corp,USD,NASDAQ,XNGS,United States,Common Stock
31937,ABVC,American BriVision (Holding) Corporation,USD,NASDAQ,XNCM,United States,Common Stock
31938,ABVG,"Affinity Beverage Group, Inc.",USD,OTC,Pink,United States,Common Stock
31940,ABVN,ABV Consulting Inc.,USD,OTC,Pink,United States,Common Stock
31944,ABWN,Airborne Wireless Network,USD,OTC,Pink,United States,Common Stock
31949,ABXXF,Abaxx Technologies Inc.,USD,OTC,Pink,United States,Common Stock
31954,ABZPF,Aboitiz Power Corp.,USD,OTC,Pink,United States,Common Stock
31955,ABZPY,Aboitiz Power Corp.,USD,OTC,Pink,United States,American Depositary Receipt
31956,ABZT,ABLAZE TECHNOLOGIES INC,USD,OTC,Pink,United States,Common Stock
31957,ABZUF,"Abzu Gold, Ltd.",USD,OTC,Grey,United States,Common Stock
31961,AC,Associated Capital Group Inc,USD,NYSE,XNYS,United States,Common Stock
31977,ACA,Arcosa Inc,USD,NYSE,XNYS,United States,Common Stock
31981,ACAB,Atlantic Coastal Acquisition Corp. II,USD,NASDAQ,XNMS,United States,Common Stock
31982,ACABU,Atlantic Coastal Acquisition Corp II,USD,NASDAQ,XNMS,United States,Unit
31983,ACABW,Atlantic Coastal Acquisition Corp. II,USD,NASDAQ,XNMS,United States,Common Stock
31984,ACACU,Acri Capital Acquisition Corp,USD,NASDAQ,XNMS,United States,Unit
31985,ACACW,Acri Capital Acquisition Corporation,USD,NASDAQ,XNMS,United States,Common Stock
